| +I |                     2025-04-04 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-04-02 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-03-27 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-03-28 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-04-06 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-03-30 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-03-17 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-04-09 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-03-18 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-03-15 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| -U |                     2025-04-06 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +U |                     2025-04-06 |                    2 |                    0 |                    0 |                    2 |                    2 |                    0 |                    0 |                    2 |                    2 |                    0 |                    0 |                    2 |
| -U |                     2025-03-30 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +U |                     2025-03-30 |                    2 |                    0 |                    0 |                    2 |                    2 |                    0 |                    0 |                    2 |                    2 |                    0 |                    0 |                    2 |
| +I |                     2025-03-20 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-04-07 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-03-16 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-04-11 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| -U |                     2025-04-02 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| +U |                     2025-04-02 |                    2 |                    0 |                    0 |                    2 |                    2 |                    0 |                    0 |                    2 |                    1 |                    0 |                    0 |                    1 |
| +I |                     2025-03-31 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |
| -U |                     2025-04-06 |                    2 |                    0 |                    0 |                    2 |                    2 |                    0 |                    0 |                    2 |                    2 |                    0 |                    0 |                    2 |
| +U |                     2025-04-06 |                    3 |                    0 |                    0 |                    3 |                    3 |                    0 |                    0 |                    3 |                    3 |                    0 |                    0 |                    3 |
