81,632471,9182,2025-04-12 21:33:14,extra1,2025-04-12,21:33
11,896949,7454,2025-04-13 10:47:14,extra10,2025-04-13,10:47
95,978685,1570,2025-04-12 21:19:14,extra3,2025-04-12,21:19
47,947948,8004,2025-04-13 09:05:14,extra4,2025-04-13,09:05
77,837818,9590,2025-04-12 19:19:14,extra3,2025-04-12,19:19
34,937437,8721,2025-04-12 20:06:14,extra7,2025-04-12,20:06
68,625395,2738,2025-04-13 09:42:14,extra5,2025-04-13,09:42
44,793384,8040,2025-04-13 00:46:14,extra9,2025-04-13,00:46
17,826160,3422,2025-04-13 00:37:14,extra6,2025-04-13,00:37
21,679247,8538,2025-04-13 05:18:14,extra5,2025-04-13,05:18
49,331025,7448,2025-04-12 16:43:14,extra5,2025-04-12,16:43
1,936598,2115,2025-04-13 13:05:14,extra6,2025-04-13,13:05
18,357913,8812,2025-04-13 03:04:14,extra10,2025-04-13,03:04
68,983651,9851,2025-04-13 02:26:14,extra7,2025-04-13,02:26
18,352939,9125,2025-04-13 13:18:14,extra7,2025-04-13,13:18
77,576737,4253,2025-04-13 08:11:14,extra2,2025-04-13,08:11
35,406578,6795,2025-04-13 11:48:14,extra4,2025-04-13,11:48
46,760410,3525,2025-04-13 09:30:14,extra7,2025-04-13,09:30
85,904802,9889,2025-04-12 21:59:14,extra2,2025-04-12,21:59
29,478840,2827,2025-04-13 08:31:14,extra9,2025-04-13,08:31
34,863089,9126,2025-04-13 06:05:14,extra9,2025-04-13,06:05
52,437211,2486,2025-04-13 06:43:14,extra8,2025-04-13,06:43
11,688560,6090,2025-04-12 15:58:14,extra4,2025-04-12,15:58
19,917862,1051,2025-04-12 21:17:14,extra3,2025-04-12,21:17
100,522017,7306,2025-04-13 09:43:14,extra2,2025-04-13,09:43
6,106759,4179,2025-04-12 19:02:14,extra6,2025-04-12,19:02
55,700189,4851,2025-04-12 15:42:14,extra3,2025-04-12,15:42
21,182890,6502,2025-04-13 00:01:14,extra10,2025-04-13,00:01
61,601070,3053,2025-04-13 13:39:14,extra6,2025-04-13,13:39
38,792272,3704,2025-04-13 02:38:14,extra5,2025-04-13,02:38
99,215798,7650,2025-04-13 07:14:14,extra8,2025-04-13,07:14
50,406740,2519,2025-04-13 05:41:14,extra9,2025-04-13,05:41
87,176796,1451,2025-04-13 03:39:14,extra1,2025-04-13,03:39
