auction,price,dateTime
233,94696,2024-01-01T10:05:49
339,78017,2024-01-01T10:00:05
951,13400,2024-01-01T10:00:36
624,70828,2024-01-01T10:02:56
80,46915,2024-01-01T10:04:02
855,10984,2024-01-01T10:06:15
380,51858,2024-01-01T10:03:12
99,44012,2024-01-01T10:04:41
526,90670,2024-01-01T10:03:05
869,45480,2024-01-01T10:00:45
785,26299,2024-01-01T10:07:21
514,32982,2024-01-01T10:02:17
277,72869,2024-01-01T10:02:22
457,44265,2024-01-01T10:05:58
341,70867,2024-01-01T10:03:29
557,48006,2024-01-01T10:01:34
408,80883,2024-01-01T10:06:07
657,89953,2024-01-01T10:00:54
979,41104,2024-01-01T10:03:42
128,73561,2024-01-01T10:06:16
733,13688,2024-01-01T10:04:56
644,44303,2024-01-01T10:07:30
904,2344,2024-01-01T10:00:44
586,63261,2024-01-01T10:01:49
795,49975,2024-01-01T10:06:27
691,26414,2024-01-01T10:04:54
712,94653,2024-01-01T10:01:42
935,88295,2024-01-01T10:02:36
761,2982,2024-01-01T10:00:25
54,58735,2024-01-01T10:07:17
675,29701,2024-01-01T10:07:42
657,63148,2024-01-01T10:01:19
31,84208,2024-01-01T10:06:09
915,89462,2024-01-01T10:05:18
559,89209,2024-01-01T10:07:39
578,57413,2024-01-01T10:06:09
168,36903,2024-01-01T10:01:56
399,63245,2024-01-01T10:02:15
972,25135,2024-01-01T10:04:30
300,60374,2024-01-01T10:05:00
654,73523,2024-01-01T10:03:58
754,25163,2024-01-01T10:06:18
316,9671,2024-01-01T10:07:50
167,99887,2024-01-01T10:00:37
708,79570,2024-01-01T10:01:29
567,78684,2024-01-01T10:05:26
768,95060,2024-01-01T10:01:04
146,85583,2024-01-01T10:03:08
252,44283,2024-01-01T10:04:02
131,88259,2024-01-01T10:00:45
530,2691,2024-01-01T10:00:57
378,56809,2024-01-01T10:01:22
47,50188,2024-01-01T10:04:04
827,56431,2024-01-01T10:01:49
585,19904,2024-01-01T10:02:53
216,40915,2024-01-01T10:04:32
604,43647,2024-01-01T10:03:06
22,76298,2024-01-01T10:05:04
480,5865,2024-01-01T10:07:06
905,5139,2024-01-01T10:00:42
688,36132,2024-01-01T10:02:24
998,41539,2024-01-01T10:03:09
22,35028,2024-01-01T10:00:35
75,52,2024-01-01T10:07:12
19,36389,2024-01-01T10:02:37
760,75989,2024-01-01T10:02:25
201,56139,2024-01-01T10:03:21
791,2295,2024-01-01T10:03:43
483,18401,2024-01-01T10:01:09
830,763,2024-01-01T10:00:16
762,64570,2024-01-01T10:04:01
936,89007,2024-01-01T10:02:36
338,35357,2024-01-01T10:00:50
624,2062,2024-01-01T10:03:43
938,63456,2024-01-01T10:07:39
846,83343,2024-01-01T10:04:03
851,37481,2024-01-01T10:03:07
901,59790,2024-01-01T10:03:57
706,83011,2024-01-01T10:07:06
832,18061,2024-01-01T10:00:21
