1,Item A,Description D,6225,4073,2025-04-13 01:15:01,2025-04-13 01:15:01,2622,25,auction_extra2
2,Item D,Description E,2737,3751,2025-04-13 01:15:01,2025-04-13 01:15:01,8700,15,auction_extra4
3,Item D,Description D,6887,5641,2025-04-13 01:15:01,2025-04-13 01:15:01,9327,10,auction_extra7
4,Item C,Description D,6721,6489,2025-04-13 01:15:01,2025-04-13 01:15:01,7821,5,auction_extra9
5,Item E,Description E,2651,6819,2025-04-13 01:15:01,2025-04-13 01:15:01,5514,20,auction_extra8
6,Item C,Description E,2324,5078,2025-04-13 01:15:01,2025-04-13 01:15:01,1479,10,auction_extra7
7,Item A,Description C,2093,5543,2025-04-13 01:15:01,2025-04-13 01:15:01,7846,15,auction_extra7
8,Item E,Description A,2735,2214,2025-04-13 01:15:01,2025-04-13 01:15:01,2292,10,auction_extra4
9,Item E,Description C,5745,3677,2025-04-13 01:15:01,2025-04-13 01:15:01,6642,20,auction_extra9
10,Item C,Description A,3518,2150,2025-04-13 01:15:01,2025-04-13 01:15:01,2055,5,auction_extra6
11,Item D,Description D,7475,2768,2025-04-13 01:15:01,2025-04-13 01:15:01,1939,10,auction_extra5
12,Item B,Description E,2638,4197,2025-04-13 01:15:01,2025-04-13 01:15:01,8431,5,auction_extra9
13,Item C,Description B,5202,4572,2025-04-13 01:15:01,2025-04-13 01:15:01,6435,15,auction_extra3
14,Item D,Description A,5389,5545,2025-04-13 01:15:01,2025-04-13 01:15:01,8158,20,auction_extra1
15,Item C,Description E,3228,3537,2025-04-13 01:15:01,2025-04-13 01:15:01,9960,15,auction_extra3
16,Item A,Description A,3396,4724,2025-04-13 01:15:01,2025-04-13 01:15:01,4408,5,auction_extra5
17,Item C,Description A,4140,3200,2025-04-13 01:15:01,2025-04-13 01:15:01,7933,15,auction_extra1
18,Item E,Description D,7769,4185,2025-04-13 01:15:01,2025-04-13 01:15:01,5093,10,auction_extra10
19,Item E,Description A,2492,3791,2025-04-13 01:15:01,2025-04-13 01:15:01,1566,10,auction_extra8
20,Item C,Description D,6104,1926,2025-04-13 01:15:01,2025-04-13 01:15:01,2497,20,auction_extra10
