auction,bidder,price,dateTime,extra
1564,67,607516,2025-04-22T10:00:12,extraD
1683,54,233309,2025-04-22T10:00:19,extraB
1969,97,361721,2025-04-22T10:00:03,extraB
1427,54,3463,2025-04-22T10:00:12,extraC
1488,68,21749,2025-04-22T10:00:00,extraC
1763,72,869460,2025-04-22T10:00:09,extraC
1035,57,375560,2025-04-22T10:00:09,extraB
1856,66,535184,2025-04-22T10:00:09,extraB
1664,32,716737,2025-04-22T10:00:04,extraD
1783,53,289866,2025-04-22T10:00:17,extraA
1561,91,606362,2025-04-22T10:00:01,extraD
1690,56,886275,2025-04-22T10:00:09,extraC
1373,30,238135,2025-04-22T10:00:20,extraD
1324,76,945001,2025-04-22T10:00:05,extraA
1008,11,793330,2025-04-22T10:00:11,extraB
1430,86,555328,2025-04-22T10:00:09,extraB
1149,5,438060,2025-04-22T10:00:05,extraC
1761,32,529066,2025-04-22T10:00:19,extraB
1871,55,795409,2025-04-22T10:00:19,extraD
1527,25,498939,2025-04-22T10:00:02,extraC
1153,34,723284,2025-04-22T10:00:01,extraA
1470,43,707411,2025-04-22T10:00:16,extraD
1980,77,755236,2025-04-22T10:00:06,extraC
1776,100,782422,2025-04-22T10:00:15,extraA
1422,42,337696,2025-04-22T10:00:02,extraA
1302,13,105674,2025-04-22T10:00:00,extraD
1113,47,870017,2025-04-22T10:00:13,extraA
1231,50,63363,2025-04-22T10:00:13,extraD
1297,24,280194,2025-04-22T10:00:08,extraA
1725,79,367159,2025-04-22T10:00:15,extraD
1851,34,549036,2025-04-22T10:00:01,extraC
1794,46,511734,2025-04-22T10:00:08,extraB
1213,12,535353,2025-04-22T10:00:13,extraC
1439,40,568531,2025-04-22T10:00:03,extraD
1388,30,190333,2025-04-22T10:00:01,extraD
1149,17,945644,2025-04-22T10:00:01,extraA
1406,44,705680,2025-04-22T10:00:19,extraA
1017,9,496849,2025-04-22T10:00:13,extraA
1400,34,205961,2025-04-22T10:00:09,extraC
1438,48,139765,2025-04-22T10:00:12,extraC
1784,33,999892,2025-04-22T10:00:13,extraD
1447,70,463807,2025-04-22T10:00:20,extraB
1741,73,499674,2025-04-22T10:00:02,extraC
1329,34,256153,2025-04-22T10:00:04,extraA
1044,48,559843,2025-04-22T10:00:11,extraB
1850,1,589574,2025-04-22T10:00:05,extraA
1209,92,479982,2025-04-22T10:00:12,extraB
1606,17,733742,2025-04-22T10:00:08,extraC
1709,49,644732,2025-04-22T10:00:15,extraA
1549,45,821814,2025-04-22T10:00:17,extraB
1580,10,567478,2025-04-22T10:00:09,extraB
1947,63,469046,2025-04-22T10:00:02,extraA
1065,21,921044,2025-04-22T10:00:08,extraC
1129,10,191261,2025-04-22T10:00:15,extraB
1533,75,199539,2025-04-22T10:00:05,extraD
1963,19,908198,2025-04-22T10:00:11,extraD
1627,7,794371,2025-04-22T10:00:11,extraA
1329,96,363228,2025-04-22T10:00:15,extraD
1208,52,88569,2025-04-22T10:00:06,extraA
1942,4,888993,2025-04-22T10:00:07,extraD
1078,46,960661,2025-04-22T10:00:13,extraA
1363,82,920110,2025-04-22T10:00:11,extraB
1584,1,345707,2025-04-22T10:00:05,extraC
1057,54,325479,2025-04-22T10:00:18,extraD
1526,6,274650,2025-04-22T10:00:14,extraC
1582,83,968809,2025-04-22T10:00:09,extraD
1353,14,801497,2025-04-22T10:00:09,extraB
1031,13,630384,2025-04-22T10:00:17,extraC
1862,96,341272,2025-04-22T10:00:18,extraC
1599,32,908843,2025-04-22T10:00:14,extraD
1728,82,976923,2025-04-22T10:00:18,extraD
1633,79,202024,2025-04-22T10:00:02,extraA
1441,17,650215,2025-04-22T10:00:07,extraB
1276,85,330580,2025-04-22T10:00:00,extraA
1314,59,574380,2025-04-22T10:00:03,extraA
1026,47,374698,2025-04-22T10:00:03,extraA
1581,25,944122,2025-04-22T10:00:16,extraA
1239,1,719880,2025-04-22T10:00:11,extraB
1701,40,215297,2025-04-22T10:00:12,extraA
1160,68,781242,2025-04-22T10:00:05,extraD
1958,9,531706,2025-04-22T10:00:00,extraB
1126,1,480781,2025-04-22T10:00:07,extraC
1536,27,305509,2025-04-22T10:00:06,extraB
1503,53,713934,2025-04-22T10:00:10,extraD
1112,85,513833,2025-04-22T10:00:01,extraB
1009,87,385480,2025-04-22T10:00:19,extraD
1553,31,43747,2025-04-22T10:00:06,extraA
1797,69,229340,2025-04-22T10:00:06,extraC
1265,37,701828,2025-04-22T10:00:01,extraB
1522,12,695424,2025-04-22T10:00:13,extraB
1313,43,546587,2025-04-22T10:00:07,extraB
1093,36,130053,2025-04-22T10:00:00,extraA
1575,43,194867,2025-04-22T10:00:10,extraC
1472,67,180254,2025-04-22T10:00:09,extraC
1035,56,653525,2025-04-22T10:00:01,extraB
1663,97,353494,2025-04-22T10:00:00,extraC
1305,37,335012,2025-04-22T10:00:04,extraD
1482,90,137701,2025-04-22T10:00:11,extraD
1280,94,599519,2025-04-22T10:00:07,extraC
1794,44,275399,2025-04-22T10:00:07,extraA
