13,8517,1670,Channel 3,URL_3287,2025-04-09 19:06:07.952897,Extra info for bid 1
18,9830,2652,Channel 5,URL_8019,2025-04-03 19:06:07.952922,Extra info for bid 2
13,6930,2296,Channel 2,URL_9348,2025-04-05 19:06:07.952940,Extra info for bid 3
3,1771,1398,Channel 2,URL_3621,2025-04-06 19:06:07.952957,Extra info for bid 4
20,2040,3652,Channel 4,URL_8668,2025-04-04 19:06:07.952974,Extra info for bid 5
9,1188,1438,Channel 5,URL_5371,2025-04-07 19:06:07.952993,Extra info for bid 6
4,5808,4061,Channel 2,URL_8433,2025-04-12 19:06:07.953010,Extra info for bid 7
9,9201,1963,Channel 5,URL_2743,2025-04-08 19:06:07.953028,Extra info for bid 8
17,4258,1752,Channel 3,URL_3646,2025-04-04 19:06:07.953045,Extra info for bid 9
17,1009,3155,Channel 4,URL_1319,2025-04-11 19:06:07.953062,Extra info for bid 10
12,6038,2461,Channel 1,URL_4946,2025-04-03 19:06:07.953080,Extra info for bid 11
3,2403,4481,Channel 1,URL_9727,2025-04-10 19:06:07.953097,Extra info for bid 12
5,8787,1852,Channel 3,URL_9645,2025-04-03 19:06:07.953118,Extra info for bid 13
14,4470,4917,Channel 2,URL_6107,2025-04-06 19:06:07.953136,Extra info for bid 14
12,8177,4739,Channel 4,URL_2982,2025-04-09 19:06:07.953156,Extra info for bid 15
8,2049,3269,Channel 1,URL_4770,2025-04-03 19:06:07.953173,Extra info for bid 16
8,1117,1081,Channel 1,URL_4750,2025-04-11 19:06:07.953189,Extra info for bid 17
2,6413,1080,Channel 5,URL_4899,2025-04-08 19:06:07.953206,Extra info for bid 18
16,4510,4917,Channel 2,URL_8744,2025-04-09 19:06:07.953223,Extra info for bid 19
16,7669,2059,Channel 1,URL_2588,2025-04-06 19:06:07.953240,Extra info for bid 20
12,7939,3867,Channel 4,URL_1887,2025-04-11 19:06:07.953257,Extra info for bid 21
2,7596,3279,Channel 1,URL_5073,2025-04-09 19:06:07.953275,Extra info for bid 22
7,9786,4175,Channel 2,URL_7912,2025-04-10 19:06:07.953294,Extra info for bid 23
9,8579,2546,Channel 1,URL_8260,2025-04-04 19:06:07.953311,Extra info for bid 24
4,1828,4928,Channel 1,URL_2528,2025-04-09 19:06:07.953328,Extra info for bid 25
6,7658,4478,Channel 4,URL_4502,2025-04-06 19:06:07.953345,Extra info for bid 26
2,3697,3604,Channel 1,URL_7396,2025-04-08 19:06:07.953362,Extra info for bid 27
15,5673,3965,Channel 5,URL_8973,2025-04-10 19:06:07.953383,Extra info for bid 28
7,5861,2283,Channel 1,URL_9883,2025-04-12 19:06:07.953400,Extra info for bid 29
11,1936,910,Channel 5,URL_8811,2025-04-04 19:06:07.953417,Extra info for bid 30
17,3579,965,Channel 5,URL_2312,2025-04-10 19:06:07.953433,Extra info for bid 31
3,2113,2426,Channel 4,URL_2964,2025-04-03 19:06:07.953450,Extra info for bid 32
8,1651,1171,Channel 4,URL_9565,2025-04-07 19:06:07.953468,Extra info for bid 33
9,4346,3073,Channel 2,URL_5351,2025-04-06 19:06:07.953485,Extra info for bid 34
5,5915,4245,Channel 3,URL_2188,2025-04-12 19:06:07.953503,Extra info for bid 35
15,2638,1100,Channel 5,URL_4492,2025-04-04 19:06:07.953520,Extra info for bid 36
9,3170,3359,Channel 1,URL_5002,2025-04-07 19:06:07.953537,Extra info for bid 37
10,3584,4089,Channel 5,URL_5956,2025-04-03 19:06:07.953553,Extra info for bid 38
17,1128,2952,Channel 1,URL_3200,2025-04-08 19:06:07.953572,Extra info for bid 39
4,2753,1773,Channel 3,URL_5616,2025-04-03 19:06:07.953588,Extra info for bid 40
7,6617,2167,Channel 3,URL_9280,2025-04-05 19:06:07.953609,Extra info for bid 41
9,1832,1256,Channel 4,URL_5533,2025-04-12 19:06:07.953626,Extra info for bid 42
1,6464,1571,Channel 3,URL_3647,2025-04-05 19:06:07.953643,Extra info for bid 43
18,8007,579,Channel 1,URL_2232,2025-04-10 19:06:07.953660,Extra info for bid 44
18,1590,3524,Channel 5,URL_3426,2025-04-06 19:06:07.953677,Extra info for bid 45
5,1685,3025,Channel 3,URL_1653,2025-04-07 19:06:07.953695,Extra info for bid 46
7,5088,1342,Channel 3,URL_7658,2025-04-03 19:06:07.953713,Extra info for bid 47
5,4878,1831,Channel 2,URL_7755,2025-04-12 19:06:07.953731,Extra info for bid 48
6,6442,3872,Channel 2,URL_5371,2025-04-10 19:06:07.953749,Extra info for bid 49
4,7267,817,Channel 4,URL_4644,2025-04-09 19:06:07.953766,Extra info for bid 50
15,6728,3000,Channel 2,URL_4652,2025-04-12 19:06:07.953783,Extra info for bid 51
7,7528,3189,Channel 3,URL_2137,2025-04-08 19:06:07.953800,Extra info for bid 52
12,9346,3774,Channel 5,URL_6425,2025-04-12 19:06:07.953824,Extra info for bid 53
4,5279,1962,Channel 5,URL_5349,2025-04-12 19:06:07.953843,Extra info for bid 54
4,8119,3331,Channel 3,URL_8149,2025-04-03 19:06:07.953860,Extra info for bid 55
17,2894,3655,Channel 5,URL_4114,2025-04-08 19:06:07.953877,Extra info for bid 56
2,8144,513,Channel 5,URL_9821,2025-04-09 19:06:07.953894,Extra info for bid 57
12,8066,1073,Channel 3,URL_6143,2025-04-11 19:06:07.953908,Extra info for bid 58
