1,Item1,Desc1,177,235,2023-01-01 00:00:00,2023-01-01 01:00:00,5145,1
2,Item2,Desc2,135,286,2023-01-01 00:00:00,2023-01-01 01:00:00,5699,1
3,Item3,Desc3,196,291,2023-01-01 00:00:00,2023-01-01 01:00:00,5779,1
4,Item4,Desc4,165,226,2023-01-01 00:00:00,2023-01-01 01:00:00,5328,1
5,Item5,Desc5,200,264,2023-01-01 00:00:00,2023-01-01 01:00:00,5553,1
6,Item6,Desc6,133,222,2023-01-01 00:00:00,2023-01-01 01:00:00,5141,1
7,Item7,Desc7,171,243,2023-01-01 00:00:00,2023-01-01 01:00:00,5673,1
8,Item8,Desc8,129,280,2023-01-01 00:00:00,2023-01-01 01:00:00,5110,1
9,Item9,Desc9,165,220,2023-01-01 00:00:00,2023-01-01 01:00:00,5462,1
10,Item10,Desc10,152,204,2023-01-01 00:00:00,2023-01-01 01:00:00,5565,1
11,Item11,Desc11,116,214,2023-01-01 00:00:00,2023-01-01 01:00:00,5827,1
12,Item12,Desc12,173,266,2023-01-01 00:00:00,2023-01-01 01:00:00,5825,1
13,Item13,Desc13,154,260,2023-01-01 00:00:00,2023-01-01 01:00:00,5452,1
14,Item14,Desc14,102,231,2023-01-01 00:00:00,2023-01-01 01:00:00,5733,1
15,Item15,Desc15,146,284,2023-01-01 00:00:00,2023-01-01 01:00:00,5685,1
16,Item16,Desc16,101,246,2023-01-01 00:00:00,2023-01-01 01:00:00,5635,1
17,Item17,Desc17,165,232,2023-01-01 00:00:00,2023-01-01 01:00:00,5225,1
18,Item18,Desc18,127,295,2023-01-01 00:00:00,2023-01-01 01:00:00,5004,1
19,Item19,Desc19,182,300,2023-01-01 00:00:00,2023-01-01 01:00:00,5936,1
20,Item20,Desc20,119,300,2023-01-01 00:00:00,2023-01-01 01:00:00,5511,1
21,Item21,Desc21,150,262,2023-01-01 00:00:00,2023-01-01 01:00:00,5483,1
22,Item22,Desc22,196,270,2023-01-01 00:00:00,2023-01-01 01:00:00,5320,1
23,Item23,Desc23,125,290,2023-01-01 00:00:00,2023-01-01 01:00:00,5288,1
24,Item24,Desc24,108,295,2023-01-01 00:00:00,2023-01-01 01:00:00,5045,1
25,Item25,Desc25,190,253,2023-01-01 00:00:00,2023-01-01 01:00:00,5672,1
26,Item26,Desc26,183,212,2023-01-01 00:00:00,2023-01-01 01:00:00,5145,1
27,Item27,Desc27,174,300,2023-01-01 00:00:00,2023-01-01 01:00:00,5066,1
28,Item28,Desc28,190,217,2023-01-01 00:00:00,2023-01-01 01:00:00,5524,1
29,Item29,Desc29,104,272,2023-01-01 00:00:00,2023-01-01 01:00:00,5564,1
30,Item30,Desc30,162,236,2023-01-01 00:00:00,2023-01-01 01:00:00,5492,1
31,Item31,Desc31,131,235,2023-01-01 00:00:00,2023-01-01 01:00:00,5363,1
32,Item32,Desc32,180,219,2023-01-01 00:00:00,2023-01-01 01:00:00,5373,1
33,Item33,Desc33,177,265,2023-01-01 00:00:00,2023-01-01 01:00:00,5699,1
34,Item34,Desc34,170,263,2023-01-01 00:00:00,2023-01-01 01:00:00,5224,1
35,Item35,Desc35,116,288,2023-01-01 00:00:00,2023-01-01 01:00:00,5446,1
36,Item36,Desc36,120,238,2023-01-01 00:00:00,2023-01-01 01:00:00,5200,1
37,Item37,Desc37,100,211,2023-01-01 00:00:00,2023-01-01 01:00:00,5680,1
38,Item38,Desc38,119,210,2023-01-01 00:00:00,2023-01-01 01:00:00,5907,1
39,Item39,Desc39,105,262,2023-01-01 00:00:00,2023-01-01 01:00:00,5867,1
40,Item40,Desc40,163,292,2023-01-01 00:00:00,2023-01-01 01:00:00,5916,1
41,Item41,Desc41,103,276,2023-01-01 00:00:00,2023-01-01 01:00:00,5457,1
42,Item42,Desc42,109,231,2023-01-01 00:00:00,2023-01-01 01:00:00,5627,1
43,Item43,Desc43,144,228,2023-01-01 00:00:00,2023-01-01 01:00:00,5770,1
