| +I |                      channel_1 |                     2025-04-13 |                          00:05 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |
| -U |                      channel_1 |                     2025-04-13 |                          00:05 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |
| +U |                      channel_1 |                     2025-04-13 |                          00:10 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |                    1 |                    0 |                    1 |                    0 |
| +I |                      channel_2 |                     2025-04-13 |                          00:15 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |
| -U |                      channel_2 |                     2025-04-13 |                          00:15 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |                    1 |                    1 |                    0 |                    0 |
| +U |                      channel_2 |                     2025-04-13 |                          00:20 |                    2 |                    1 |                    1 |                    0 |                    2 |                    1 |                    1 |                    0 |                    1 |                    1 |                    1 |                    0 |
| -U |                      channel_1 |                     2025-04-13 |                          00:10 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |                    1 |                    0 |                    1 |                    0 |
| +U |                      channel_1 |                     2025-04-13 |                          00:25 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |                    2 |                    0 |                    2 |                    0 |
| -U |                      channel_1 |                     2025-04-13 |                          00:25 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |                    2 |                    0 |                    2 |                    0 |
| +U |                      channel_1 |                     2025-04-13 |                          00:30 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |                    2 |                    0 |                    2 |                    0 |
| +I |                      channel_3 |                     2025-04-13 |                          00:35 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |
| -U |                      channel_3 |                     2025-04-13 |                          00:35 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |                    1 |                    0 |
| +U |                      channel_3 |                     2025-04-13 |                          00:40 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |
| -U |                      channel_2 |                     2025-04-13 |                          00:20 |                    2 |                    1 |                    1 |                    0 |                    2 |                    1 |                    1 |                    0 |                    1 |                    1 |                    1 |                    0 |
| +U |                      channel_2 |                     2025-04-13 |                          00:45 |                    3 |                    1 |                    2 |                    0 |                    3 |                    1 |                    2 |                    0 |                    2 |                    1 |                    2 |                    0 |
| -U |                      channel_1 |                     2025-04-13 |                          00:30 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |                    2 |                    0 |                    2 |                    0 |
| +U |                      channel_1 |                     2025-04-13 |                          00:50 |                    5 |                    0 |                    5 |                    0 |                    5 |                    0 |                    5 |                    0 |                    3 |                    0 |                    3 |                    0 |
| -U |                      channel_3 |                     2025-04-13 |                          00:40 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |                    2 |                    0 |
| +U |                      channel_3 |                     2025-04-13 |                          00:55 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |
| -U |                      channel_2 |                     2025-04-13 |                          00:45 |                    3 |                    1 |                    2 |                    0 |                    3 |                    1 |                    2 |                    0 |                    2 |                    1 |                    2 |                    0 |
| +U |                      channel_2 |                     2025-04-13 |                          01:00 |                    4 |                    1 |                    3 |                    0 |                    4 |                    1 |                    3 |                    0 |                    3 |                    1 |                    3 |                    0 |
| -U |                      channel_1 |                     2025-04-13 |                          00:50 |                    5 |                    0 |                    5 |                    0 |                    5 |                    0 |                    5 |                    0 |                    3 |                    0 |                    3 |                    0 |
| +U |                      channel_1 |                     2025-04-13 |                          01:05 |                    6 |                    0 |                    6 |                    0 |                    6 |                    0 |                    6 |                    0 |                    4 |                    0 |                    4 |                    0 |
| -U |                      channel_2 |                     2025-04-13 |                          01:00 |                    4 |                    1 |                    3 |                    0 |                    4 |                    1 |                    3 |                    0 |                    3 |                    1 |                    3 |                    0 |
| +U |                      channel_2 |                     2025-04-13 |                          01:10 |                    5 |                    1 |                    4 |                    0 |                    5 |                    1 |                    4 |                    0 |                    4 |                    1 |                    4 |                    0 |
| -U |                      channel_1 |                     2025-04-13 |                          01:05 |                    6 |                    0 |                    6 |                    0 |                    6 |                    0 |                    6 |                    0 |                    4 |                    0 |                    4 |                    0 |
| +U |                      channel_1 |                     2025-04-13 |                          01:15 |                    7 |                    0 |                    7 |                    0 |                    7 |                    0 |                    7 |                    0 |                    5 |                    0 |                    5 |                    0 |
| -U |                      channel_3 |                     2025-04-13 |                          00:55 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |                    3 |                    0 |
| +U |                      channel_3 |                     2025-04-13 |                          01:20 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |
| -U |                      channel_1 |                     2025-04-13 |                          01:15 |                    7 |                    0 |                    7 |                    0 |                    7 |                    0 |                    7 |                    0 |                    5 |                    0 |                    5 |                    0 |
| +U |                      channel_1 |                     2025-04-13 |                          01:25 |                    8 |                    0 |                    8 |                    0 |                    8 |                    0 |                    8 |                    0 |                    6 |                    0 |                    6 |                    0 |
| -U |                      channel_2 |                     2025-04-13 |                          01:10 |                    5 |                    1 |                    4 |                    0 |                    5 |                    1 |                    4 |                    0 |                    4 |                    1 |                    4 |                    0 |
| +U |                      channel_2 |                     2025-04-13 |                          01:30 |                    6 |                    1 |                    5 |                    0 |                    6 |                    1 |                    5 |                    0 |                    5 |                    1 |                    5 |                    0 |
| -U |                      channel_3 |                     2025-04-13 |                          01:20 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |                    4 |                    0 |
| +U |                      channel_3 |                     2025-04-13 |                          01:35 |                    5 |                    0 |                    5 |                    0 |                    5 |                    0 |                    5 |                    0 |                    5 |                    0 |                    5 |                    0 |
| -U |                      channel_1 |                     2025-04-13 |                          01:25 |                    8 |                    0 |                    8 |                    0 |                    8 |                    0 |                    8 |                    0 |                    6 |                    0 |                    6 |                    0 |
