| +I |                   19 |                     2025-04-04 |                    1 |                    0 |                    0 |                    1 |             16085769 |             16085769 |             16085769 |             16085769 |
| +I |                   12 |                     2025-04-02 |                    1 |                    0 |                    0 |                    1 |             18459958 |             18459958 |             18459958 |             18459958 |
| +I |                    8 |                     2025-03-27 |                    1 |                    0 |                    0 |                    1 |             41380789 |             41380789 |             41380789 |             41380789 |
| +I |                   18 |                     2025-03-28 |                    1 |                    0 |                    0 |                    1 |              7675055 |              7675055 |              7675055 |              7675055 |
| +I |                    4 |                     2025-04-06 |                    1 |                    0 |                    0 |                    1 |             41707595 |             41707595 |             41707595 |             41707595 |
| +I |                    1 |                     2025-03-30 |                    1 |                    0 |                    0 |                    1 |              2983817 |              2983817 |              2983817 |              2983817 |
| +I |                   12 |                     2025-03-17 |                    1 |                    0 |                    0 |                    1 |             32674588 |             32674588 |             32674588 |             32674588 |
| +I |                    7 |                     2025-04-09 |                    1 |                    0 |                    0 |                    1 |             47916571 |             47916571 |             47916571 |             47916571 |
| +I |                   17 |                     2025-03-18 |                    1 |                    0 |                    0 |                    1 |             18600812 |             18600812 |             18600812 |             18600812 |
| +I |                   10 |                     2025-03-15 |                    1 |                    0 |                    0 |                    1 |             28263814 |             28263814 |             28263814 |             28263814 |
| +I |                   12 |                     2025-04-06 |                    1 |                    0 |                    0 |                    1 |             17418774 |             17418774 |             17418774 |             17418774 |
| +I |                   20 |                     2025-03-30 |                    1 |                    0 |                    0 |                    1 |             47148986 |             47148986 |             47148986 |             47148986 |
| +I |                    3 |                     2025-03-20 |                    1 |                    0 |                    0 |                    1 |             31000154 |             31000154 |             31000154 |             31000154 |
| +I |                    4 |                     2025-04-07 |                    1 |                    0 |                    0 |                    1 |             39020170 |             39020170 |             39020170 |             39020170 |
| +I |                    1 |                     2025-03-16 |                    1 |                    0 |                    0 |                    1 |             14242870 |             14242870 |             14242870 |             14242870 |
| +I |                   14 |                     2025-04-11 |                    1 |                    0 |                    0 |                    1 |             31163053 |             31163053 |             31163053 |             31163053 |
| -U |                   12 |                     2025-04-02 |                    1 |                    0 |                    0 |                    1 |             18459958 |             18459958 |             18459958 |             18459958 |
| +U |                   12 |                     2025-04-02 |                    2 |                    0 |                    0 |                    2 |             18459958 |             49242307 |             33851132 |             67702265 |
