+I,7,264836,7771,2025-04-23 12:00:00.000,extra_0
+I,7,805186,8479,2025-04-23 12:00:10.000,extra_2
+I,9,841202,9684,2025-04-23 12:00:25.000,extra_5
+I,2,406946,1462,2025-04-23 12:00:35.000,extra_7
+I,7,655174,7501,2025-04-23 12:00:45.000,extra_9
+I,8,333740,1542,2025-04-23 12:00:50.000,extra_10
+I,2,833249,5205,2025-04-23 12:01:00.000,extra_12
+I,5,589054,9223,2025-04-23 12:01:10.000,extra_14
+I,5,771227,6651,2025-04-23 12:01:20.000,extra_16
+I,6,728035,7924,2025-04-23 12:01:35.000,extra_19
+I,4,389989,5989,2025-04-23 12:01:40.000,extra_20
+I,10,641764,1363,2025-04-23 12:01:50.000,extra_22
+I,8,962025,5768,2025-04-23 12:02:05.000,extra_25
+I,3,689202,2599,2025-04-23 12:02:15.000,extra_27
+I,8,406642,6126,2025-04-23 12:02:20.000,extra_28
+I,5,989277,2455,2025-04-23 12:02:35.000,extra_31
+I,6,644996,8210,2025-04-23 12:02:40.000,extra_32
+I,2,808032,3228,2025-04-23 12:02:55.000,extra_35
+I,6,911107,7485,2025-04-23 12:03:00.000,extra_36
+I,1,166312,5912,2025-04-23 12:03:15.000,extra_39
+I,3,964505,3753,2025-04-23 12:03:20.000,extra_40
+I,4,729015,5585,2025-04-23 12:03:35.000,extra_43
+I,6,883179,9706,2025-04-23 12:03:40.000,extra_44
+I,3,960732,8084,2025-04-23 12:03:55.000,extra_47
+I,9,943223,5776,2025-04-23 12:04:05.000,extra_49
+I,9,820580,2393,2025-04-23 12:04:10.000,extra_50
+I,2,813680,1395,2025-04-23 12:04:20.000,extra_52
+I,5,278137,9157,2025-04-23 12:04:35.000,extra_55
+I,7,817061,6428,2025-04-23 12:04:45.000,extra_57
+I,4,551806,9193,2025-04-23 12:04:50.000,extra_58
+I,7,730122,4195,2025-04-23 12:05:00.000,extra_60
+I,10,978744,5714,2025-04-23 12:05:10.000,extra_62
+I,7,662617,7284,2025-04-23 12:05:25.000,extra_65
+I,2,506662,2618,2025-04-23 12:05:30.000,extra_66
+I,8,419492,6467,2025-04-23 12:05:45.000,extra_69
+I,7,950587,6626,2025-04-23 12:05:55.000,extra_71
+I,5,986858,9104,2025-04-23 12:06:05.000,extra_73
+I,6,997976,5845,2025-04-23 12:06:10.000,extra_74
+I,4,752957,1041,2025-04-23 12:06:25.000,extra_77
+I,9,815195,1564,2025-04-23 12:06:35.000,extra_79
+I,7,939710,6650,2025-04-23 12:06:45.000,extra_81
+I,10,799188,5365,2025-04-23 12:06:50.000,extra_82
+I,5,249541,8932,2025-04-23 12:07:05.000,extra_85
+I,5,832182,3592,2025-04-23 12:07:15.000,extra_87
+I,6,891190,1319,2025-04-23 12:07:25.000,extra_89
+I,2,206908,4271,2025-04-23 12:07:30.000,extra_90
+I,8,896981,3293,2025-04-23 12:07:45.000,extra_93
+I,5,520706,1119,2025-04-23 12:07:55.000,extra_95
+I,1,299271,1065,2025-04-23 12:08:05.000,extra_97
+I,8,424722,5570,2025-04-23 12:08:15.000,extra_99
