+I,1,1,2025-04-13 00:00:00.000,2025-04-13 00:00:10.000
+I,2,1,2025-04-13 00:00:05.000,2025-04-13 00:00:15.000
+I,3,1,2025-04-13 00:00:10.000,2025-04-13 00:00:20.000
+I,4,1,2025-04-13 00:00:15.000,2025-04-13 00:00:25.000
+I,5,1,2025-04-13 00:00:20.000,2025-04-13 00:00:30.000
+I,6,1,2025-04-13 00:00:25.000,2025-04-13 00:00:35.000
+I,7,1,2025-04-13 00:00:30.000,2025-04-13 00:00:40.000
+I,8,1,2025-04-13 00:00:35.000,2025-04-13 00:00:45.000
+I,9,1,2025-04-13 00:00:40.000,2025-04-13 00:00:50.000
+I,10,1,2025-04-13 00:00:45.000,2025-04-13 00:00:55.000
